Academic Program,Major Transcript Title,Major CIP Code
"BA-ARTS: Art, BA",Art,500702
MS-ARIN: Artificial Intelligence,Artificial Intelligence,110102
"MS-ARIN-AL: Artificial Intelligence, MS—Align Program",Artificial Intelligence,110102
"MS-AMCE: Arts Administration and Cultural Entrepreneurship, MS",Arts Adm  Cultural Entrepren,501099
"CERTG-ARAD: Arts Administration, Graduate Certificate",Arts Administration,501099
"BA-ASST: Asian Studies, BA",Asian Studies,050103
"BS-ASLI: American Sign Language—English Interpreting, BS",ASL - English Interpreting,161601
"BS-ASHU: American Sign Language and Human Services, BS",ASL/Human Services,161601
"BS-ASLN: American Sign Language and Linguistics, BS",ASL/Linguistics,161601
"BS-ASPS: American Sign Language and Psychology, BS",ASL/Psychology,161601
"BS-ASTH: American Sign Language and Theatre, BS",ASL/Theatre,161601
"BS-BNPH: Behavioral Neuroscience and Philosophy, BS",Behav Neuroscience/Philosophy,261501
"BS-BENS: Behavioral Neuroscience, BS",Behavioral Neuroscience,261501
"BS-BNDS: Behavioral Neuroscience and Design, BS",Behavioral Neuroscience/Design,261501
"BS-BIOC: Biochemistry, BS",Biochemistry,260202
"CERTG-BDBS: Biodefense and Biosecurity, Graduate Certificate",Biodefense and Biosecurity,261201
"BSBIOE-BION: Bioengineering, BSBioE",Bioengineering,149999
"MSBIOE-BION: Bioengineering, MSBioE",Bioengineering,149999
"PHD-BION: Bioengineering, PhD",Bioengineering,149999
"PHD-BION-A: Bioengineering, PhD—Advanced Entry",Bioengineering,149999
"BSBIOE-BEBC: Bioengineering and Biochemistry, BSBioE",Bioengineering/Biochemistry,149999
"CERTG-BINF: Bioinformatics, Graduate Certificate",Bioinformatics,261103
"MS-BINF: Bioinformatics, MS",Bioinformatics,261103
"MS-BINF-EX: Bioinformatics, MS—Experiential",Bioinformatics,261103
"P-BS-BIOS: Biological Science, BS",Biological Science,260101
"BS-BIOL: Biology, BS",Biology,260101
"MS-BIOL: Biology, MS",Biology,260101
"PHD-BIOL: Biology, PhD",Biology,260101
"PHD-BIOL-A: Biology, PhD-Advanced Entry",Biology,260101
"BS-BENG: Biology and English, BS",Biology/English,269999
"BS-BIMA: Biology and Mathematics, BS",Biology/Mathematics,260101
"BS-BIPO: Biology and Political Science, BS",Biology/Political Science,269999
"BS-BIMP: Biomedical Physics, BS",Biomedical Physics,260203
"MS-BIOM: Biomedical Science, MS",Biomedical Science,260102
"PHD-BIOM: Biomedical Science, PhD",Biomedical Science,260102
"PHD-BIOM-A: Biomedical Science, PhD—Advanced Entry",Biomedical Science,260102
"CERTG-BIAS: Biopharmaceutical Analytical Sciences, Graduate Certificate",Biopharm Analytical Sci,400599
"P-CERTG-BPRA: Biopharmaceutical Regulatory Affairs, Graduate Certificate",Biopharmaceutical Reg Affairs,512099
"P-CERTG-BPQI: International Biopharmaceutical Regulatory Affairs, Graduate Certificate",Biopharmacy Quality Intl,512099
"CERTG-BIOT: Biotechnology, Graduate Certificate",Biotechnology,261201
"MS-BIOT-EX: Biotechnology, MS — Experiential",Biotechnology,261201
"MS-BIOT-SC: Biotechnology, MS",Biotechnology,261201
"P-BS-BIOT: Biotechnology, BS",Biotechnology,261201
"CERTG-BITE: Biotechnology Enterprise, Graduate Certificate",Biotechnology Enterprise,261201
"CERTG-RESC: Biotechnology Regulatory Science, Graduate Certificate",Biotechnology Regulatory Sci,512004
"CERTG-BLCE: Blockchain and Smart Contract Engineering, Graduate Certificate",Blockchain  Smart Contr. Engr,140903
"CERTG-BMGT: Brand Management, Graduate Certificate",Brand Management,521401
"CERTG-TBWS: Broadband Wireless Systems, Graduate Certificate",Broadband Wireless Systems,110901
"BS-BALW: Business Administration and Law, BS",Business Admin and Law,520101
"BS-BACS: Business Administration and Communication Studies, BS",Business Admin/Comm Studies,520101
"BS-BACJ: Business Administration and Criminal Justice, BS",Business Admin/Crim Justice,520101
"BS-BAPS: Business Administration and Psychology, BS",Business Admin/Psychology,520101
"BS-BAPH: Business Administration and Public Health, BS",Business Admin/Public Health,520101
"BSBA-BSAD: Business Administration, BSBA",Business Administration,520101
"CERTG-BSAD: Business Administration, Graduate Certificate",Business Administration,520101
"CERTG-BSAD-O: Business Administration—Online Program, Graduate Certificate",Business Administration,520101
"MBA-BSAD2-O: Business Administration, MBA—Online",Business Administration,520101
"MBA-BSAD-E: Business Administration, MBA—Part-Time",Business Administration,520101
"MBA-BSAD-F: Business Administration, MBA—Full-Time",Business Administration,520101
"MBA-BSAD-O: Business Administration, MBA—Online Program",Business Administration,520101
"BS-BUDE: Business Administration and Design, BS",Business Administration/Design,520101
"CERTG-BUSA: Business Analytics, Graduate Certificate",Business Analytics,521302
"MS-BUSA: Business Analytics, MS",Business Analytics,521302
"MS-BUSA-O: Business Analytics, MS—Online",Business Analytics,521302
"CERTG-BLAW: Business Law, Graduate Certificate",Business Law,220205
"CERTG-HECA: Business Management for Healthcare, Graduate Certificate",Business Mgmt for Healthcare,521099
"MS-CGTH: Cell and Gene Therapies, MS",Cell and Gene Therapies,260806
"BS-CMBI: Cell and Molecular Biology, BS",Cell and Molecular Biology,260406
"BSCHE-CEBE: Chemical Engineering and Bioengineering, BSChE",Chem Engineer/Bioengineering,140701
"BSCHE-CHOC: Chemical Engineering and Biochemistry, BSChE",Chem Engineering/Biochemistry,140701
"BSCHE-CHME: Chemical Engineering, BSChE",Chemical Engineering,140701
"MSCHE-CHME: Chemical Engineering, MSChE",Chemical Engineering,140701
"PHD-CHME: Chemical Engineering, PhD",Chemical Engineering,140701
"PHD-CHME-A: Chemical Engineering, PhD—Advanced Entry",Chemical Engineering,140701
"BSCHE-CHCS: Chemical Engineering and Computer Science, BSChE",Chemical Engineering/Comp Sci,140701
"BSCHE-CEDS: Chemical Engineering and Data Science, BSChE",Chemical Engineering/Data Sci,140701
"BSCHE-CEPH: Chemical Engineering and Physics, BSChE",Chemical Engineering/Physics,140701
"BSCHE-CEEE: Chemical Engineering and Environmental Engineering, BSChE",Chemical Engr/Environ Engr,140701
"BS-CHEM: Chemistry, BS",Chemistry,400501
"MS-CHEM: Chemistry, MS",Chemistry,400501
"PHD-CHEM: Chemistry, PhD",Chemistry,400501
"PHD-CHEM-A: Chemistry, PhD-Advanced Entry",Chemistry,400501
"PHD-CEEN: Civil and Environmental Engineering, PhD",Civil  Environmental Engineer,140801
"PHD-CEEN-A: Civil and Environmental Engineering, PhD—Advanced Entry",Civil  Environmental Engineer,140801
"BSCE-CEAS: Civil Engineering and Architectural Studies, BSCE",Civil Eng/Arch Studies,140801
"BSCE-CIVE: Civil Engineering, BSCE",Civil Engineering,140801
"MSCIVE-CIVE: Civil Engineering with Concentration in Construction Management, MSCivE",Civil Engineering,140801
"MSCIVE-CIVE: Civil Engineering with Concentration in Water, Environmental, and Coastal Systems, MSCivE",Civil Engineering,140801
"MSCIVE-CIVE: Civil Engineering with Concentration in Geotechnical/Geoenvironmental Engineering, MSCivE",Civil Engineering,140801
"MSCIVE-CIVE: Civil Engineering with Concentration in Structures, MSCivE",Civil Engineering,140801
"MSCIVE-CIVE: Civil Engineering with Concentration in Transportation, MSCivE",Civil Engineering,140801
"MSCIVE-CIVE: Civil Engineering with Concentration in Data and Systems, MSCivE",Civil Engineering,140801
"PHD-CIVE: Civil Engineering, PhD",Civil Engineering,140801
"PHD-CIVE-A: Civil Engineering, PhD—Advanced Entry",Civil Engineering,140801
"BSCE-CVCS: Civil Engineering and Computer Science, BSCE",Civil Engineering/Computer Sci,140801
"CERTG-CLEN: Climate and Engineering, Graduate Certificate",Climate and Engineering,141401
"MS-CLSE: Climate Science and Engineering, MS",Climate Sci and Engineering,141401
"P-CERTG-CCAM: Cloud Computing Application and Management, Graduate Certificate",Cloud Computing App and Mgmt,110104
"CERTG-CLSD: Cloud Software Development, Graduate Certificate",Cloud Software Development,110902
"P-CERTG-CATH: Collegiate Athletics Administration, Graduate Certificate",Collegiate Athletics Admin,310504
"BA-CMGR: Communication Studies and Graphic and Information Design, BA",Comm Stud/Graph  Info Design,090101
BS-CMSL: Communication Studies and Speech-Language Pathology and Audiology,Comm Stud/Speech-Lang Path Aud,090101
"BA-CMSO: Communication Studies and Sociology, BA",Comm Studies/Sociology,090199
"BA-CMTH: Communication Studies and Theatre, BA",Comm Studies/Theatre,090199
"P-MS-COED: Commerce and Economic Development, MS",Commerce  Economic Developmnt,450603
"BA-CMME: Communication and Media Studies, BA",Communication  Media Studies,090199
"BA-CMST: Communication Studies, BA",Communication Studies,090101
"BS-CMDE: Communication Studies and Design, BS",Communication Studies/Design,090101
"BS-CSBA: Computer Science and Business Administration, BS",Comp Sci/Business Admin,110101
"BS-CSCP: Computer Science and Cognitive Psychology, BS",Comp Sci/Cognitive Psyc,110101
"BS-CSES: Computer Science and Environmental and Sustainability Sciences, BS",Comp Sci/Environ and Sust Sci,110101
"BS-CSMA: Computer Science and Mathematics, BS",Comp Sci/Mathematics,110101
"BS-CSPP: Computer Science and Politics, Philosophy, and Economics, BS","Comp Sci/Politics, Phil  Econ",110101
"BS-CSSL: Computer Science and Speech-Language Pathology and Audiology, BS",Comp Sci/Speech-Lng Pth Aud,110101
"MS-CNAN: Complex Network Analysis, MS",Complex Network Analysis,300601
"CERTG-COSS: Computational Social Science, Graduate Certificate",Computational Social Science,305202
"BSCMPE-CMPE: Computer Engineering, BSCmpE",Computer Engineering,140901
"PHD-CMPE: Computer Engineering, PhD",Computer Engineering,140901
"PHD-CMPE-A: Computer Engineering, PhD-Advanced Entry",Computer Engineering,140901
"BSCMPE-CMPH: Computer Engineering and Physics, BSCmpE",Computer Engineering/Physics,140901
"BSCMPE-CECS: Computer Engineering and Computer Science, BSCmpE",Computer Engr/Computer Science,140901
"BS-CSBN: Computer Science and Behavioral Neuroscience, BS",Computer Sci/Behavior Neurosci,110101
"BS-CSCS: Computer Science and Communication Studies, BS",Computer Sci/Communication Stu,110101
"BS-CSCJ: Computer Science and Criminal Justice, BS",Computer Sci/Criminal Justice,110101
"BS-CGDV: Computer Science and Game Development, BS",Computer Sci/Game Development,110101
"BS-CSMU: Computer Science and Music, BS",Computer Sci/Music,110101
"BS-CSMU-MUTE: Computer Science and Music with Concentration in Music Technology, BS",Computer Sci/Music,110101
"BS-CSPL: Computer Science and Philosophy, BS",Computer Sci/Philosophy,110101
"BS-CSPY: Computer Science and Physics, BS",Computer Sci/Physics,110101
"BS-CSPO: Computer Science and Political Science, BS",Computer Sci/Political Sci,110101
"BS-CSSO: Computer Science and Sociology, BS",Computer Sci/Sociology,110101
"BACS-CSCI: Computer Science, BACS",Computer Science,110101
"BSCS-CSCI: Computer Science, BSCS",Computer Science,110101
"BSCS-CYBO: Computer Science with Concentration in Cyber Operations, BSCS",Computer Science,110101
"CERTG-CSCI: Computer Science, Graduate Certificate",Computer Science,110101
"MSCS-CSCI: Computer Science, MSCS",Computer Science,110101
"MSCS-CSCI-AL: Computer Science, MSCS—Align",Computer Science,110101
"PHD-CSCI: Computer Science, PhD",Computer Science,110101
"PHD-CSCI-A: Computer Science, PhD—Advanced Entry",Computer Science,110101
"BS-CSBI: Computer Science and Biology, BS",Computer Science/Biology,110101
"BS-CSDE: Computer Science and Design, BS",Computer Science/Design,110101
"BS-CSEC: Computer Science and Economics, BS",Computer Science/Economics,110101
"BS-CSEG: Computer Science and English, BS",Computer Science/English,110101
"BS-CSHI: Computer Science and History, BS",Computer Science/History,110101
"BS-CSJO: Computer Science and Journalism, BS",Computer Science/Journalism,110101
"BS-CSLI: Computer Science and Linguistics, BS",Computer Science/Linguistics,110101
"BS-CSME: Computer Science and Media Arts, BS",Computer Science/Media Arts,110101
"BS-CSTH: Computer Science and Theatre, BS",Computer Science/Theatre,110101
"BS-CPLW: Computing and Law, BS",Computing and Law,110101
"P-CERTG-CONM: Construction Management, Graduate Certificate",Construction Management,460412
"P-MS-CORC: Corporate and Organizational Communication, MS",Corporate  Org Communication,090101
"CERTG-COFN: Corporate Finance, Graduate Certificate",Corporate Finance,520801
"CERTG-COFN-O: Corporate Finance, Graduate Certificate—Online",Corporate Finance,520801
"CERTG-COIN: Corporate Innovation, Graduate Certificate",Corporate Innovation,520210
"CERTG-CPRN: Corporate Renewal, Graduate Certificate",Corporate Renewal,520799
"CERTG-CPRN-O: Corporate Renewal, Graduate Certificate—Online",Corporate Renewal,520799
"CAGS-COPS: Counseling Psychology, CAGS",Counseling Psychology,422803
"MSCP-COPS: Counseling Psychology, MSCP",Counseling Psychology,422803
"PHD-COPS-MSE: Counseling Psychology, PhD",Counseling Psychology,422803
"MS-CCMD: Creative Collaboration and Multidisciplinary Design, MS",Creatv Collab  Multidisc Dsgn,501099
"CERTG-CRAM: Crime Analysis and Mapping, Graduate Certificate",Crime Analysis and Mapping,430408
"BS-CRJO: Criminal Justice and Journalism, BS",Criminal Justice/Journalism,430104
"BS-CJPH: Criminal Justice and Philosophy, BS",Criminal Justice/Philosophy,430104
"BS-CRPO: Criminal Justice and Political Science, BS",Criminal Justice/Political Sci,430104
"BS-CJPS: Criminal Justice and Psychology, BS",Criminal Justice/Psychology,430199
"BS-CRSO: Criminal Justice and Sociology, BS",Criminal Justice/Sociology,430104
"BS-CRCJ: Criminology and Criminal Justice, BS",Criminology  Criminal Justice,430104
"MS-CRCJ: Criminology and Criminal Justice, MS",Criminology  Criminal Justice,430104
"PHD-CRJP: Criminology and Justice Policy, PhD",Criminology and Justice Policy,430104
"PHD-CRJP-A: Criminology and Justice Policy, PhD—Advanced Entry",Criminology and Justice Policy,430104
"P-CERTG-CCCM: Cross-Cultural Communication, Graduate Certificate",Cross-Cultural Communication,090100
"BA-CAPH: Cultural Anthropology and Philosophy, BA",Cultural Anthro/Philosophy,450204
"BA-CARS: Cultural Anthropology and Religious Studies, BA",Cultural Anthro/Religious Stud,450204
"BA-CUAN: Cultural Anthropology, BA",Cultural Anthropology,451101
"BS-CUAN: Cultural Anthropology, BS",Cultural Anthropology,451101
"BA-CUTH: Cultural Anthropology and Theatre, BA",Cultural Anthropology/Theatre,451101
"CERTG-CUEN: Cultural Entrepreneurship, Graduate Certificate",Cultural Entrepreneurship,501099
"MS-CYPS: Cyber-Physical Systems, MS",Cyber-Physical Systems,140903
"BS-CYBS: Cybersecurity, BS",Cybersecurity,111003
"CERTG-CYBS: Cybersecurity, Graduate Certificate",Cybersecurity,111003
"MS-CYBS: Cybersecurity, MS",Cybersecurity,111003
"MS-CYBS-AL: Cybersecurity, MS—Align",Cybersecurity,111003
"PHD-CYBS: Cybersecurity, PhD",Cybersecurity,111003
"PHD-CYBS-A: Cybersecurity, PhD—Advanced Entry",Cybersecurity,111003
"BS-CYBB: Cybersecurity and Business Administration, BS",Cybersecurity/Business Admin,111003
"BS-CYCJ: Cybersecurity and Criminal Justice, BS",Cybersecurity/Criminal Justice,111003
"BS-CYEC: Cybersecurity and Economics, BS",Cybersecurity/Economics,111003
"CERTG-DAAN: Data Analytics, Graduate Certificate",Data Analytics,110802
"CERTG-DAAE: Data Analytics Engineering, Graduate Certificate",Data Analytics Engineering,149999
"MS-DAAE: Data Analytics Engineering, MS",Data Analytics Engineering,149999
"MS-DAAE-EX: Data Analytics Engineering, MS—Experiential",Data Analytics Engineering,149999
"MS-DAAE-O: Data Analytics Engineering, MS—Online",Data Analytics Engineering,149999
"MS-DAMG: Data Architecture and Management, MS",Data Architecture  Management,110802
"BS-DSEE: Data Science and Ecology and Evolutionary Biology, BS",Data Sci/Ecology  Evol Bio,110802
"BS-DSES: Data Science and Environmental and Sustainability Sciences, BS",Data Sci/Environ and Sust Sci,110802
"BS-DSSL: Data Science and Speech-Language Pathology and Audiology, BS",Data Sci/Speech-Lng Pth Aud,110802
"BS-DASC: Data Science, BS",Data Science,110802
"MS-DASC: Data Science, MS",Data Science,110802
"MS-DASC-AL: Data Science, MS—Align",Data Science,110802
"BS-DSBN: Data Science and Behavioral Neuroscience, BS",Data Science/Behavioral Neuro,110802
"BS-DSBC: Data Science and Biochemistry, BS",Data Science/Biochemistry,110802
"BS-DSBL: Data Science and Biology, BS",Data Science/Biology,110802
"BS-DSBA: Data Science and Business Administration, BS",Data Science/Business Admin,110802
"BS-DSCH: Data Science and Chemistry, BS",Data Science/Chemistry,110802
"BS-DSCJ: Data Science and Criminal Justice, BS",Data Science/Criminal Justice,110802
"BS-DSDE: Data Science and Design, BS",Data Science/Design,110802
"BS-DSEC: Data Science and Economics, BS",Data Science/Economics,110802
"BS-DSHS: Data Science and Health Science, BS",Data Science/Health Science,110802
"BS-DSIA: Data Science and International Affairs, BS",Data Science/Intl Affairs,110802
"BS-DSJO: Data Science and Journalism, BS",Data Science/Journalism,110802
"BS-DSLI: Data Science and Linguistics, BS",Data Science/Linguistics,110802
"BS-DSMA: Data Science and Mathematics, BS",Data Science/Mathematics,110802
"BS-DSPL: Data Science and Philosophy, BS",Data Science/Philosophy,110802
"BS-DSPH: Data Science and Physics, BS",Data Science/Physics,110802
"BS-DSPS: Data Science and Psychology, BS",Data Science/Psychology,110802
"BS-DSPB: Data Science and Public Health, BS",Data Science/Public Health,110802
"BFA-DESN: Design, BFA",Design,500409
"BS-DEMA: Design and Mathematics, BS",Design/Mathematics,500409
"BS-DETH: Design and Theatre, BS",Design/Theatre,500409
"P-BS-DIME: Digital Communication and Media, BS",Digital Communication  Media,090702
"CERTG-DHUM: Digital Humanities, Graduate Certificate",Digital Humanities,240103
"P-MPS-DGM-AL: Digital Media, MPS—Connect",Digital Media,090702
"P-MPS-DGME: Digital Media, MPS",Digital Media,090702
"P-CERTG-DGMM: Digital Media Management, Graduate Certificate",Digital Media Management,100105
"P-CERTG-DGVD: Digital Video, Graduate Certificate",Digital Video,500602
"MA-ECED: Early Childhood Education, MA",Early Childhood Education,131210
"CERTG-EINT: Early Intervention, Graduate Certificate",Early Intervention,131099
"BS-EEBI: Ecology and Evolutionary Biology, BS",Ecology  Evolutionary Biology,261310
"BA-ECON: Economics, BA",Economics,450603
"BS-ECON: Economics, BS",Economics,450603
"MS-ECON: Economics, MS",Economics,450603
"PHD-ECON: Economics, PhD",Economics,450603
"PHD-ECON-A: Economics, PhD—Advanced Entry",Economics,450603
"BS-ECBA: Economics and Business Administration, BS",Economics/Business Admin,450603
"BS-ECHS: Economics and Human Services, BS",Economics/Human Services,450603
"BS-ECIB: Economics and International Business, BS",Economics/Intl Business,450603
"BS-ECJO: Economics and Journalism, BS",Economics/Journalism,450603
"BS-ECMA: Economics and Mathematics, BS",Economics/Mathematics,450603
"BS-ECPH: Economics and Philosophy, BS",Economics/Philosophy,450603
"BS-ECPS: Economics and Psychology, BS",Economics/Psychology,450603
"P-EDD-EDUC: Education, EdD",Education,130101
"P-MED-EDUC: Education, MEd",Education,130101
"P-CAGS-EDLM: Education Leadership Management, CAGS",Education Leadership Mgmt,130401
"MA-EDLD: Educational Leadership, MA",Educational Leadership,130401
"MSECEL-ECEL: Electrical and Computer Engineering Leadership, MSECEL",Elec and Comp Engr Leadership,141001
"BSCMPE-ELCE: Electrical and Computer Engineering, BSCmpE",Electrical and Computer Engr,141001
"BSEE-ELCE: Electrical and Computer Engineering, BSEE",Electrical and Computer Engr,141001
"BSEE-ELEE: Electrical Engineering, BSEE",Electrical Engineering,141001
"MSECE-ELEE: Electrical and Computer Engineering with Concentration in Communications, Control, and Signal Processing, MSECE",Electrical Engineering,141001
"MSECE-ELEE: Electrical and Computer Engineering with Concentration in Computer Networks and Security, MSECE",Electrical Engineering,141001
"MSECE-ELEE: Electrical and Computer Engineering with Concentration in Computer Systems and Software, MSECE",Electrical Engineering,141001
"MSECE-ELEE: Electrical and Computer Engineering with Concentration in Computer Vision, Machine Learning, and Algorithms, MSECE",Electrical Engineering,141001
"MSECE-ELEE: Electrical and Computer Engineering with Concentration in Electromagnetics, Plasma, and Optics, MSECE",Electrical Engineering,141001
"MSECE-ELEE: Electrical and Computer Engineering with Concentration in Microsystems, Materials, and Devices, MSECE",Electrical Engineering,141001
"MSECE-ELEE: Electrical and Computer Engineering with Concentration in Power Systems, MSECE",Electrical Engineering,141001
"MSECE-ELEE: Electrical and Computer Engineering with Concentration in Hardware and Software for Machine Intelligence, MSECE",Electrical Engineering,141001
"PHD-ELEE: Electrical Engineering, PhD",Electrical Engineering,141001
"PHD-ELEE-A: Electrical Engineering, PhD—Advanced Entry",Electrical Engineering,141001
"BSEE-EEMU: Electrical Engineering and Music with Concentration in Music Technology, BSEE",Electrical Engineering/Music,141001
"BSEE-EEPH: Electrical Engineering and Physics, BSEE",Electrical Engineering/Physics,141001
"P-MAT-ELED: Elementary Education, MAT",Elementary Education,131202
"CERTG-ENES: Energy Systems, Graduate Certificate",Energy Systems,142701
"MSENES-AL: Energy Systems, MSEneS—Academic Link",Energy Systems,142701
"MSENES-ENES: Energy Systems, MSEneS",Energy Systems,142701
"CERTG-ENSY: Energy Systems Management, Graduate Certificate",Energy Systems Management,142701
"MS-CEPP: Engineering and Public Policy, MS",Engineering and Public Policy,140899
"MS-CEPP: Engineering and Public Policy with Concentration in Energy  Environment, MS",Engineering and Public Policy,140899
"MS-CEPP: Engineering and Public Policy with Concentration in Infrastructure Resilience, MS",Engineering and Public Policy,140899
"CERTG-ENBU: Engineering Business, Graduate Certificate",Engineering Business,140101
"CERTG-EEDM: Engineering Economic Decision Making, Graduate Certificate",Engineering Economic Decision,140101
"CERTG-ENLR: Engineering Leadership, Graduate Certificate",Engineering Leadership,141001
"CERTG-ENGM: Engineering Management, Graduate Certificate",Engineering Management,140101
"MSEM-ENGM: Engineering Management, MSEM",Engineering Management,140101
"MSEM-ENGM-EX: Engineering Management, MSEM—Experiential",Engineering Management,140101
"CERTG-ETSM: Technology Systems Management, Graduate Certificate",Engineering Tech Systems Mgmt,140101
"BA-ENGL: English, BA",English,230101
"MA-ENGL: English, MA",English,230101
"PHD-ENGL: English, PhD",English,230101
"PHD-ENGL-A: English, PhD—Advanced Entry",English,230101
"BA-ENCO: English and Communication Studies, BA",English/Communication Studies,230101
"BA-ENCJ: English and Criminal Justice, BA",English/Criminal Justice,230101
"BA-ENCA: English and Cultural Anthropology, BA",English/Cultural Anthropology,230101
"BA-ENDE: English and Design, BA",English/Design,230101
"BA-ENGD: English and Graphic and Information Design, BA",English/Graphic  Info Design,230101
"BA-EPHI: English and Philosophy, BA",English/Philosophy,230101
"BA-ENPS: English and Political Science, BA",English/Political Science,230101
"BA-ENTH: English and Theatre, BA",English/Theatre,230101
"CERTG-ENTR: Entrepreneurship, Graduate Certificate",Entrepreneurship,520701
"BS-ESJO: Environmental and Sustainability Sciences and Journalism, BS",Environ  Sust Sci/Journalism,030104
"BS-ESCH: Environmental and Sustainability Sciences and Chemistry, BS",Environ and Sust Sci/Chemistry,030104
"BS-ESEC: Environmental and Sustainability Sciences and Economics, BS",Environ and Sust Sci/Economics,030104
"BS-ESLA: Environmental and Sustainability Sciences and Landscape Architecture, BS",Environ and Sust Sci/Land Arch,030104
"BSENVE-EECH: Environmental Engineering and Chemical Engineering, BSEnvE",Environ Engr/Chemical Engr,140801
"BSENVE-ENVI: Environmental Engineering, BSEnvE",Environmental Engineering,140801
"MSENVE-ENVI: Environmental Engineering, MSEnvE",Environmental Engineering,140801
"BSENVE-EEDS: Environmental Engineering and Data Science, BSEnvE",Environmental Engr/Data Sci,140801
"BSENVE-ENHS: Environmental Engineering and Health Science, BSEnvE",Environmental Engr/Health Sci,140801
"MS-ENPP: Environmental Science and Policy, MS",Environmental Science  Policy,030103
"BA-ENVS: Environmental Studies, BA",Environmental Studies,030103
"BS-ENSS: Environmental and Sustainability Sciences, BS",Environmtl  Sustain Sciences,030104
"BSENVE-EELA: Environmental Engineering and Landscape Architecture, BSEnvE",Environmtl Engr/Landscape Arch,140801
"BA-ENHI: Environmental Studies and History, BA",Environmtl Studies/History,030103
"BA-ENIA: Environmental Studies and International Affairs, BA",Environmtl Studies/Intl Affair,030103
"BA-ENPH: Environmental Studies and Philosophy, BA",Environmtl Studies/Philosophy,030103
"BA-ENPO: Environmental Studies and Political Science, BA",Environmtl Studies/Politic Sci,030103
"P-CERTG-ESPT: eSports, Graduate Certificate",eSports,310504
"CERTG-EXSC: Exercise Science for Clinicians, Graduate Certificate",Exercise Science,310505
"MS-EXSC-PAPH: Exercise Science with Concentration in Physical Activity and Public Health, MS",Exercise Science,310505
"MS-EXSC-O: Exercise Science, MS—Online",Exercise Science,310505
"CERTG-EXPD: Experience Design, Graduate Certificate",Experience Design,110105
"MFA-EXPD: Experience Design, MFA",Experience Design,110105
"MS-EXPD: Experience Design, MS",Experience Design,110105
