Course Code,Course Name,Course Hours,Requirement Group,Number Required,Enrolled
COMM 2304,Communication and Gender,,"Communication, Culture, and Society",one,False
COMM 2551,Free Speech in Cyberspace,,"Communication, Culture, and Society",one,False
COMM 3230,Interpersonal Communication,,"Communication, Culture, and Society",one,False
COMM 3304,Communication and Inclusion,,"Communication, Culture, and Society",one,False
COMM 4535,Nonverbal Social Interaction,,"Communication, Culture, and Society",one,False
COMM 4605,Youth and Communication Technology,,"Communication, Culture, and Society",one,False
COMM 4625,Online Communities,,"Communication, Culture, and Society",one,False
LING 3412,Language and Culture,,"Communication, Culture, and Society",one,False
LING 3442,Sociolinguistics,,"Communication, Culture, and Society",one,False
LING 3456,Language and Gender,,"Communication, Culture, and Society",one,False
HUSV 1101,Social Change and Human Services,,Social Work Track,one,False
HUSV 2355,"Race, Identity, Social Change, and Empowerment",,Social Work Track,one,False
HUSV 2970,Research Methods for Human Services,,Social Work Track,one,False
HUSV 3900,Social Policy,,Social Work Track,one,False
CAEP 1280,Introduction to Mindfulness,,Mindfulness,one,False
CAEP 1290,Personal Behavior Change,,Mindfulness,one,False
CAEP 2280,"The Yoga Tradition in Nepal: Philosophy, Methods, and Practice",,Mindfulness,one,False
CAEP 2290,"The Yoga Tradition: Philosophy, Methods, and Practice",,Mindfulness,one,False
CAEP 3899,Relationships in College,,Mindfulness,one,False
HLTH 5002,Mindfulness: Theory and Practice,,Mindfulness,one,False
HUSV 2340,Mindfulness in Mental Health,,Mindfulness,one,False
PHIL 1130,Comparative Ethics,,Mindfulness,one,False
PHIL 1133,Selling Spirituality,,Mindfulness,one,False
PHIL 1275,"Hinduism, Buddhism, and Beyond",,Mindfulness,one,False
PHIL 1290,Chinese Philosophy and Religion,,Mindfulness,one,False
PHIL 2395,Japanese Buddhism,,Mindfulness,one,False
